sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
England/NORW-E9FE2/2020,Y,Y,NORW-E9FE2,,2020-05-02,18,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E79E6/2020,Y,Y,NORW-E79E6,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK2330,,
England/NORW-E7685/2020,Y,Y,NORW-E7685,,2020-05-04,19,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E9C09/2020,Y,Y,NORW-E9C09,,2020-04-30,18,UK,UK-ENG,Y,,,B.1,UK4371,,
England/NORW-E7791/2020,Y,Y,NORW-E7791,,2020-05-04,19,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E789E/2020,Y,Y,NORW-E789E,,2020-05-05,19,UK,UK-ENG,Y,,,B.1.1,UK2330,,
England/NORW-E73F7/2020,Y,Y,NORW-E73F7,,2020-05-03,19,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E7430/2020,Y,Y,NORW-E7430,,2020-05-03,19,UK,UK-ENG,Y,,,B.1.1,UK1400,,
England/NORW-E8709/2020,Y,Y,NORW-E8709,,2020-04-18,16,UK,UK-ENG,Y,,,B.1.1,UK1766,,
England/NORW-E8666/2020,Y,Y,NORW-E8666,,2020-04-17,16,UK,UK-ENG,Y,,,B.1.225,UK4371,,
England/NORW-E6ECA/2020,Y,Y,NORW-E6ECA,,2020-04-20,17,UK,UK-ENG,Y,,,B.1.1,UK9544,,
England/NORW-E944D/2020,Y,Y,NORW-E944D,,2020-04-22,17,UK,UK-ENG,Y,,,B.1.201,UK3230,,
England/NORW-E99B7/2020,Y,Y,NORW-E99B7,,2020-04-23,17,UK,UK-ENG,Y,,,B.1.1,UK1336,,
England/NORW-E712A/2020,Y,Y,NORW-E712A,,2020-04-19,17,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-E961A/2020,Y,Y,NORW-E961A,,2020-04-22,17,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E8833/2020,Y,Y,NORW-E8833,,2020-04-15,16,UK,UK-ENG,Y,,,B.1.1,UK1893,,
England/NORW-E9841/2020,Y,Y,NORW-E9841,,2020-04-23,17,UK,UK-ENG,Y,,,B.1.1,UK1427,,
England/NORW-E94F2/2020,Y,Y,NORW-E94F2,,2020-04-23,17,UK,UK-ENG,Y,,,B.1.1,UK9544,,
England/NORW-E8718/2020,Y,Y,NORW-E8718,,2020-04-16,16,UK,UK-ENG,Y,,,B,UK255,,
England/NORW-E7175/2020,Y,Y,NORW-E7175,,2020-04-18,16,UK,UK-ENG,Y,,,B.1,UK2913,,
England/NORW-E9665/2020,Y,Y,NORW-E9665,,2020-04-22,17,UK,UK-ENG,Y,,,B.1.93,UK533,,
